Date,Month,Turbidity (NTU),Diarrhea Cases,Risk Level,Temperature (°C),Rainfall (mm)
2021-09-25,9,55.3,23,High,30.5,35.8
2023-09-27,9,48.1,22,High,30.5,35.8
2022-04-16,4,11.2,7,Low,30.5,5.1
2021-10-30,10,10.1,4,Low,30.5,5.1
2022-04-04,4,5.3,0,Low,30.5,5.1
2023-11-28,11,37.1,15,High,30.5,5.1
2021-08-28,8,101.7,49,High,30.5,35.8
2023-02-09,2,5.5,4,Low,30.5,5.1
2020-09-17,9,66.7,28,High,30.5,35.8
2021-01-27,1,0.5,2,Low,30.5,5.1
2022-05-11,5,5.7,0,Low,30.5,5.1
2023-09-23,9,24.2,14,Medium,30.5,35.8
2022-02-15,2,8.1,0,Low,30.5,5.1
2023-10-19,10,25.7,9,Medium,30.5,5.1
2020-12-22,12,9.4,4,Low,30.5,5.1
2023-06-14,6,71.0,24,High,30.5,35.8
2023-03-11,3,9.4,2,Low,30.5,5.1
2021-09-08,9,167.6,96,High,30.5,35.8
2022-04-11,4,7.9,2,Low,30.5,5.1
2023-01-27,1,17.2,5,Medium,30.5,5.1
2020-01-01,1,6.8,0,Low,30.5,5.1
2021-09-14,9,45.4,16,High,30.5,35.8
2021-08-10,8,12.0,8,Medium,30.5,35.8
2021-03-06,3,9.7,4,Low,30.5,5.1
2022-05-30,5,6.6,3,Low,30.5,5.1
2023-04-02,4,12.8,4,Low,30.5,5.1
2023-05-27,5,19.9,10,Medium,30.5,5.1
2023-09-02,9,106.0,50,High,30.5,35.8
2021-10-21,10,16.0,5,Medium,30.5,5.1
2022-08-10,8,52.1,19,High,30.5,35.8
2022-06-23,6,35.0,18,High,30.5,35.8
2022-06-24,6,131.1,72,High,30.5,35.8
2023-10-15,10,24.2,8,Medium,30.5,5.1
2021-03-13,3,4.7,32,High,30.5,5.1
2022-11-12,11,26.3,9,Medium,30.5,5.1
2022-08-27,8,14.1,5,Low,30.5,35.8
2020-12-13,12,9.4,5,Low,30.5,5.1
2023-09-11,9,70.9,31,High,30.5,35.8
2020-06-22,6,50.7,27,High,30.5,35.8
2021-08-04,8,69.9,25,High,30.5,35.8
2022-11-21,11,1.5,3,Low,30.5,5.1
2023-09-21,9,48.9,19,High,30.5,35.8
2023-07-20,7,36.9,25,High,30.5,35.8
2023-06-22,6,7.1,8,Medium,30.5,35.8
2021-11-17,11,28.2,7,Medium,30.5,5.1
2020-07-10,7,18.7,0,Low,30.5,35.8
2021-04-26,4,9.4,5,Low,30.5,5.1
2023-10-09,10,20.9,8,Medium,30.5,5.1
2021-09-27,9,90.0,42,High,30.5,35.8
2021-04-05,4,6.5,2,Low,30.5,5.1
2021-02-11,2,8.9,0,Low,30.5,5.1
2020-10-28,10,13.3,5,Low,30.5,5.1
2020-02-20,2,2.4,0,Low,30.5,5.1
2020-04-04,4,5.5,0,Low,30.5,5.1
2021-05-16,5,26.7,10,Medium,30.5,5.1
2022-08-31,8,97.8,50,High,30.5,35.8
2023-06-05,6,58.9,30,High,30.5,35.8
2020-05-29,5,14.8,4,Low,30.5,5.1
2022-07-21,7,65.7,19,High,30.5,35.8
2022-04-28,4,33.6,11,High,30.5,5.1
2023-07-13,7,49.3,22,High,30.5,35.8
2023-03-24,3,13.0,2,Low,30.5,5.1
2021-02-02,2,5.5,1,Low,30.5,5.1
2023-11-27,11,8.3,3,Low,30.5,5.1
2022-02-25,2,6.2,1,Low,30.5,5.1
2022-10-09,10,38.6,12,High,30.5,5.1
2022-03-29,3,6.5,5,Low,30.5,5.1
2021-05-14,5,61.3,14,High,30.5,5.1
2020-10-29,10,34.6,10,High,30.5,5.1
2023-09-05,9,47.5,23,High,30.5,35.8
2023-11-09,11,20.9,6,Medium,30.5,5.1
2020-01-12,1,8.0,0,Low,30.5,5.1
2020-08-06,8,112.1,56,High,30.5,35.8
2022-05-20,5,12.3,3,Low,30.5,5.1
2021-03-24,3,5.8,3,Low,30.5,5.1
2020-12-26,12,3.3,1,Low,30.5,5.1
2023-11-26,11,31.7,15,High,30.5,5.1
2022-11-26,11,9.9,0,Low,30.5,5.1
2022-08-09,8,74.5,39,High,30.5,35.8
2020-04-12,4,7.0,1,Low,30.5,5.1
2023-02-15,2,31.0,10,High,30.5,5.1
2021-05-25,5,2.3,0,Low,30.5,5.1
2020-09-05,9,75.8,30,High,30.5,35.8
2022-07-23,7,59.4,33,High,30.5,35.8
2020-09-30,9,68.6,32,High,30.5,35.8
2022-08-09,8,35.1,17,High,30.5,35.8
2023-09-29,9,46.0,23,High,30.5,35.8
2022-12-23,12,22.8,6,Medium,30.5,5.1
2023-02-18,2,1.3,2,Low,30.5,5.1
2023-05-04,5,6.1,6,Low,30.5,5.1
2021-10-11,10,14.1,5,Low,30.5,5.1
2022-06-25,6,93.8,38,High,30.5,35.8
2023-06-08,6,66.4,31,High,30.5,35.8
2022-10-30,10,10.7,5,Low,30.5,5.1
2022-05-23,5,3.4,2,Low,30.5,5.1
2023-01-27,1,6.8,1,Low,30.5,5.1
2022-07-02,7,35.5,14,High,30.5,35.8
2020-11-21,11,29.3,11,Medium,30.5,5.1
2022-08-30,8,19.0,13,Medium,30.5,35.8
2022-07-10,7,116.8,67,High,30.5,35.8
2021-06-14,6,16.6,9,Medium,30.5,35.8
2021-05-21,5,8.4,3,Low,30.5,5.1
2023-07-29,7,128.7,47,High,30.5,35.8
2021-07-21,7,63.4,25,High,30.5,35.8
2022-12-03,12,12.3,5,Low,30.5,5.1
2022-09-19,9,37.8,22,High,30.5,35.8
2023-07-07,7,63.2,43,High,30.5,35.8
2021-05-04,5,10.8,2,Low,30.5,5.1
2021-07-16,7,35.4,23,High,30.5,35.8
2022-06-19,6,81.6,33,High,30.5,35.8
2020-06-07,6,45.2,18,High,30.5,35.8
2021-08-08,8,39.2,18,High,30.5,35.8
2021-04-25,4,19.8,7,Medium,30.5,5.1
2021-07-10,7,128.9,57,High,30.5,35.8
2021-11-18,11,13.8,2,Low,30.5,5.1
2021-10-16,10,20.3,6,Medium,30.5,5.1
2023-01-11,1,6.3,5,Low,30.5,5.1
2020-06-14,6,27.2,12,Medium,30.5,35.8
2020-10-10,10,25.6,12,Medium,30.5,5.1
2020-11-04,11,19.9,5,Medium,30.5,5.1
2021-04-18,4,13.0,5,Low,30.5,5.1
2022-02-23,2,4.2,3,Low,30.5,5.1
2023-11-22,11,23.3,6,Medium,30.5,5.1
2020-11-08,11,14.3,6,Low,30.5,5.1
2023-12-17,12,8.5,6,Low,30.5,5.1
2021-03-14,3,12.8,4,Low,30.5,5.1
2020-05-11,5,20.6,6,Medium,30.5,5.1
2022-04-29,4,4.1,1,Low,30.5,5.1
2022-04-14,4,13.6,0,Low,30.5,5.1
2021-11-08,11,9.5,5,Low,30.5,5.1
2023-01-16,1,16.3,3,Low,30.5,5.1
2022-08-12,8,43.4,24,High,30.5,35.8
2022-05-01,5,14.8,2,Low,30.5,5.1
2020-05-07,5,0.5,0,Low,30.5,5.1
2021-02-27,2,11.2,3,Low,30.5,5.1
2022-05-10,5,16.0,6,Medium,30.5,5.1
2022-03-08,3,7.4,0,Low,30.5,5.1
2023-04-11,4,10.9,4,Low,30.5,5.1
2023-11-25,11,14.0,10,Medium,30.5,5.1
2020-02-10,2,6.4,1,Low,30.5,5.1
2023-03-25,3,11.1,4,Low,30.5,5.1
2022-02-18,2,11.4,0,Low,30.5,5.1
2022-09-03,9,74.9,42,High,30.5,35.8
2020-01-13,1,7.6,2,Low,30.5,5.1
2021-12-21,12,9.8,6,Low,30.5,5.1
2021-09-03,9,137.7,64,High,30.5,35.8
2022-03-09,3,11.0,2,Low,30.5,5.1
2022-05-08,5,13.8,3,Low,30.5,5.1
2023-01-07,1,9.4,7,Low,30.5,5.1
2023-01-23,1,37.4,12,High,30.5,5.1
2023-05-20,5,6.3,1,Low,30.5,5.1
2021-03-27,3,19.6,2,Low,30.5,5.1
2022-09-26,9,13.7,7,Low,30.5,35.8
2021-03-25,3,22.4,8,Medium,30.5,5.1
2021-07-12,7,131.3,66,High,30.5,35.8
2022-06-11,6,54.7,21,High,30.5,35.8
2022-09-21,9,62.8,31,High,30.5,35.8
2020-02-29,2,2.6,0,Low,30.5,5.1
2022-03-07,3,17.4,7,Medium,30.5,5.1
2021-11-19,11,31.6,12,High,30.5,5.1
2023-10-01,10,41.4,12,High,30.5,5.1
2023-10-22,10,28.8,11,Medium,30.5,5.1
2022-04-08,4,10.5,3,Low,30.5,5.1
2020-12-04,12,4.5,0,Low,30.5,5.1
2022-08-15,8,46.2,29,High,30.5,35.8
2020-09-18,9,117.0,45,High,30.5,35.8
2023-06-28,6,50.3,30,High,30.5,35.8
2022-12-29,12,12.1,5,Low,30.5,5.1
2020-02-25,2,10.9,4,Low,30.5,5.1
2022-03-17,3,12.3,4,Low,30.5,5.1
2023-04-27,4,11.4,6,Low,30.5,5.1
2023-03-01,3,22.2,5,Medium,30.5,5.1
2023-09-19,9,78.1,39,High,30.5,35.8
2020-02-25,2,8.4,4,Low,30.5,5.1
2020-06-20,6,77.2,28,High,30.5,35.8
2023-08-09,8,61.8,27,High,30.5,35.8
2022-05-27,5,0.5,2,Low,30.5,5.1
2020-10-04,10,21.7,7,Medium,30.5,5.1
2022-08-03,8,77.0,34,High,30.5,35.8
2021-01-07,1,6.6,7,Low,30.5,5.1
2020-04-12,4,2.8,27,High,30.5,5.1
2021-06-16,6,61.9,25,High,30.5,35.8
2022-02-15,2,12.6,0,Low,30.5,5.1
2021-11-01,11,19.8,6,Medium,30.5,5.1
2021-03-09,3,21.6,5,Medium,30.5,5.1
2022-07-20,7,74.1,41,High,30.5,35.8
2021-10-31,10,24.0,8,Medium,30.5,5.1
2021-11-22,11,23.7,7,Medium,30.5,5.1
2022-02-15,2,6.2,1,Low,30.5,5.1
2021-07-23,7,8.5,1,Low,30.5,35.8
2022-05-13,5,10.2,1,Low,30.5,5.1
2021-05-31,5,23.0,6,Medium,30.5,5.1
2020-06-16,6,43.9,30,High,30.5,35.8
2022-08-21,8,62.8,26,High,30.5,35.8
2020-02-09,2,4.3,0,Low,30.5,5.1
2023-01-09,1,7.5,2,Low,30.5,5.1
2020-04-16,4,6.2,2,Low,30.5,5.1
2021-12-17,12,4.9,1,Low,30.5,5.1
2021-04-04,4,11.4,4,Low,30.5,5.1
2023-08-24,8,18.7,16,High,30.5,35.8
2020-05-20,5,4.7,0,Low,30.5,5.1
2023-08-27,8,82.6,33,High,30.5,35.8
2020-03-23,3,7.7,1,Low,30.5,5.1
2020-03-04,3,9.0,3,Low,30.5,5.1
2021-05-21,5,16.0,2,Low,30.5,5.1
2021-02-12,2,6.6,0,Low,30.5,5.1
2020-02-11,2,4.5,0,Low,30.5,5.1
2023-06-26,6,24.1,13,Medium,30.5,35.8
2020-11-08,11,25.3,13,Medium,30.5,5.1
2021-05-03,5,6.0,3,Low,30.5,5.1
2020-09-15,9,40.7,17,High,30.5,35.8
2022-08-27,8,54.1,28,High,30.5,35.8
2023-10-03,10,12.2,2,Low,30.5,5.1
2020-08-22,8,63.1,25,High,30.5,35.8
2023-03-01,3,20.4,4,Medium,30.5,5.1
2021-03-22,3,12.2,6,Low,30.5,5.1
2022-08-10,8,125.0,57,High,30.5,35.8
2023-12-03,12,2.9,0,Low,30.5,5.1
2021-06-08,6,85.0,36,High,30.5,35.8
2022-01-25,1,0.5,2,Low,30.5,5.1
2020-12-09,12,10.6,3,Low,30.5,5.1
2023-05-25,5,13.3,20,High,30.5,5.1
2023-05-28,5,14.6,6,Low,30.5,5.1
2020-08-22,8,55.9,31,High,30.5,35.8
2020-12-01,12,6.4,3,Low,30.5,5.1
2021-09-29,9,67.4,27,High,30.5,35.8
2020-08-09,8,125.6,64,High,30.5,35.8
2023-03-31,3,19.5,8,Medium,30.5,5.1
2020-02-22,2,2.2,0,Low,30.5,5.1
2021-09-30,9,103.7,43,High,30.5,35.8
2023-03-25,3,0.5,1,Low,30.5,5.1
2023-10-19,10,35.0,13,High,30.5,5.1
2022-02-07,2,6.3,0,Low,30.5,5.1
2022-03-23,3,8.0,4,Low,30.5,5.1
2021-02-10,2,2.9,1,Low,30.5,5.1
2020-06-04,6,66.5,27,High,30.5,35.8
2023-04-27,4,25.7,3,Medium,30.5,5.1
2023-11-15,11,13.4,34,High,30.5,5.1
2023-07-08,7,77.2,33,High,30.5,35.8
2021-05-12,5,12.4,4,Low,30.5,5.1
2020-07-27,7,43.8,18,High,30.5,35.8
2023-11-28,11,90.9,31,High,30.5,5.1
2021-09-09,9,89.8,54,High,30.5,35.8
2023-11-02,11,13.0,5,Low,30.5,5.1
2023-05-14,5,15.3,3,Low,30.5,5.1
2020-09-04,9,35.5,13,High,30.5,35.8
2023-03-05,3,11.4,3,Low,30.5,5.1
2020-03-25,3,13.1,2,Low,30.5,5.1
2021-12-12,12,9.3,2,Low,30.5,5.1
2022-12-27,12,7.0,2,Low,30.5,5.1
2022-05-27,5,21.5,4,Medium,30.5,5.1
2023-09-16,9,52.3,26,High,30.5,35.8
2022-01-28,1,13.3,5,Low,30.5,5.1
2020-05-21,5,31.0,8,High,30.5,5.1
2022-11-02,11,8.7,7,Low,30.5,5.1
2023-08-19,8,38.7,12,High,30.5,35.8
2021-11-29,11,24.4,10,Medium,30.5,5.1
2020-01-26,1,4.3,5,Low,30.5,5.1
2022-05-10,5,12.5,6,Low,30.5,5.1
2022-09-30,9,51.8,28,High,30.5,35.8
2020-08-04,8,38.9,23,High,30.5,35.8
2022-06-06,6,73.2,28,High,30.5,35.8
2022-01-11,1,23.8,5,Medium,30.5,5.1
2023-07-25,7,42.7,21,High,30.5,35.8
2022-07-30,7,68.3,34,High,30.5,35.8
2023-12-19,12,27.5,7,Medium,30.5,5.1
2020-11-09,11,7.9,4,Low,30.5,5.1
2022-06-10,6,42.4,23,High,30.5,35.8
2020-12-26,12,8.0,3,Low,30.5,5.1
2022-12-04,12,12.1,1,Low,30.5,5.1
2023-08-25,8,53.7,21,High,30.5,35.8
2021-07-07,7,26.8,13,Medium,30.5,35.8
2023-06-15,6,35.2,49,High,30.5,35.8
2023-01-07,1,8.0,3,Low,30.5,5.1
2022-09-17,9,39.9,21,High,30.5,35.8
2022-08-10,8,103.0,50,High,30.5,35.8
2022-06-11,6,71.0,31,High,30.5,35.8
2023-04-28,4,7.9,3,Low,30.5,5.1
2021-07-03,7,100.4,45,High,30.5,35.8
2021-10-22,10,17.2,3,Low,30.5,5.1
2021-05-17,5,15.4,4,Low,30.5,5.1
2020-06-26,6,89.5,49,High,30.5,35.8
2021-07-25,7,0.5,0,Low,30.5,35.8
2022-07-12,7,100.6,46,High,30.5,35.8
2021-05-14,5,21.6,6,Medium,30.5,5.1
2022-08-09,8,47.5,20,High,30.5,35.8
2023-03-13,3,10.0,1,Low,30.5,5.1
2023-06-03,6,93.8,39,High,30.5,35.8
2023-09-30,9,78.3,46,High,30.5,35.8
2022-02-15,2,5.7,4,Low,30.5,5.1
2021-11-19,11,13.7,2,Low,30.5,5.1
2020-02-28,2,3.1,0,Low,30.5,5.1
2022-10-09,10,6.8,0,Low,30.5,5.1
2021-10-27,10,15.2,7,Medium,30.5,5.1
2021-01-07,1,2.5,2,Low,30.5,5.1
2022-09-25,9,11.0,2,Low,30.5,35.8
2021-03-10,3,8.2,5,Low,30.5,5.1
2021-12-27,12,12.0,7,Low,30.5,5.1
2021-06-13,6,0.6,0,Low,30.5,35.8
2021-11-28,11,10.9,3,Low,30.5,5.1
2021-07-26,7,50.0,18,High,30.5,35.8
2023-05-05,5,9.3,4,Low,30.5,5.1
2023-12-07,12,10.6,4,Low,30.5,5.1
2021-07-19,7,42.4,18,High,30.5,35.8
2023-02-12,2,3.3,1,Low,30.5,5.1
2020-01-21,1,7.0,6,Low,30.5,5.1
2022-11-24,11,14.0,5,Low,30.5,5.1
2021-01-26,1,7.3,1,Low,30.5,5.1
2020-06-24,6,44.3,26,High,30.5,35.8
2021-05-09,5,15.8,8,Medium,30.5,5.1
2022-04-12,4,12.8,3,Low,30.5,5.1
2022-09-27,9,35.6,9,High,30.5,35.8
2023-02-11,2,5.0,2,Low,30.5,5.1
2021-05-07,5,20.4,6,Medium,30.5,5.1
2023-11-15,11,18.2,6,Medium,30.5,5.1
2022-09-02,9,38.5,21,High,30.5,35.8
2023-08-15,8,110.0,46,High,30.5,35.8
2023-12-28,12,7.3,4,Low,30.5,5.1
2022-10-02,10,11.0,4,Low,30.5,5.1
2022-07-06,7,30.3,14,High,30.5,35.8
2020-02-05,2,7.9,0,Low,30.5,5.1
2020-07-09,7,9.8,8,Medium,30.5,35.8
2021-08-25,8,63.5,31,High,30.5,35.8
2021-03-29,3,16.3,4,Low,30.5,5.1
2022-04-08,4,25.8,10,Medium,30.5,5.1
2023-11-17,11,23.0,9,Medium,30.5,5.1
2021-05-13,5,5.2,1,Low,30.5,5.1
2021-09-19,9,64.3,27,High,30.5,35.8
2023-09-21,9,55.0,21,High,30.5,35.8
2023-04-06,4,8.6,0,Low,30.5,5.1
2022-01-25,1,3.6,0,Low,30.5,5.1
2022-08-27,8,58.4,37,High,30.5,35.8
2023-02-07,2,3.4,0,Low,30.5,5.1
2022-12-23,12,6.8,0,Low,30.5,5.1
2021-12-05,12,2.5,3,Low,30.5,5.1
2022-05-21,5,16.0,9,Medium,30.5,5.1
2023-02-01,2,7.5,2,Low,30.5,5.1
2021-11-08,11,140.4,53,High,30.5,5.1
2021-12-21,12,6.8,3,Low,30.5,5.1
2023-12-10,12,0.9,0,Low,30.5,5.1
2022-07-18,7,55.3,22,High,30.5,35.8
2021-07-08,7,71.8,33,High,30.5,35.8
2021-09-19,9,72.9,35,High,30.5,35.8
2021-05-29,5,5.8,3,Low,30.5,5.1
2021-04-17,4,11.9,4,Low,30.5,5.1
2020-09-04,9,103.9,57,High,30.5,35.8
2021-01-29,1,4.4,0,Low,30.5,5.1
2021-10-08,10,19.3,6,Medium,30.5,5.1
2020-09-01,9,74.4,39,High,30.5,35.8
2023-01-02,1,9.1,4,Low,30.5,5.1
2023-11-14,11,29.0,5,Medium,30.5,5.1
2021-01-14,1,9.4,6,Low,30.5,5.1
2021-01-27,1,4.7,1,Low,30.5,5.1
2021-03-19,3,11.5,4,Low,30.5,5.1
2022-09-18,9,56.0,26,High,30.5,35.8
2021-07-20,7,97.1,49,High,30.5,35.8
2023-04-22,4,12.5,6,Low,30.5,5.1
2022-12-10,12,9.4,2,Low,30.5,5.1
2023-05-07,5,11.4,8,Medium,30.5,5.1
2021-08-02,8,73.1,35,High,30.5,35.8
2020-07-24,7,64.5,34,High,30.5,35.8
2021-02-01,2,4.9,0,Low,30.5,5.1
2021-08-29,8,148.0,77,High,30.5,35.8
2021-04-10,4,4.7,3,Low,30.5,5.1
2022-01-09,1,2.7,5,Low,30.5,5.1
2021-01-02,1,3.3,1,Low,30.5,5.1
2021-09-11,9,32.7,10,High,30.5,35.8
2020-01-29,1,2.0,0,Low,30.5,5.1
2023-12-21,12,8.6,2,Low,30.5,5.1
2022-12-29,12,12.4,4,Low,30.5,5.1
2020-09-16,9,104.3,42,High,30.5,35.8
2021-07-15,7,57.8,35,High,30.5,35.8
2020-04-03,4,13.1,1,Low,30.5,5.1
2020-04-21,4,17.4,5,Medium,30.5,5.1
2023-02-07,2,1.1,6,Low,30.5,5.1
2021-08-21,8,52.5,27,High,30.5,35.8
2023-11-29,11,15.7,6,Medium,30.5,5.1
2020-09-15,9,92.7,47,High,30.5,35.8
2023-07-30,7,61.8,21,High,30.5,35.8
2022-10-02,10,18.8,6,Medium,30.5,5.1
2020-07-29,7,18.9,12,Medium,30.5,35.8
2020-01-26,1,7.9,4,Low,30.5,5.1
2023-03-21,3,5.3,1,Low,30.5,5.1
2021-08-05,8,120.0,60,High,30.5,35.8
2022-08-19,8,162.6,97,High,30.5,35.8
2022-09-07,9,56.1,19,High,30.5,35.8
2022-06-21,6,63.8,26,High,30.5,35.8
2021-11-28,11,0.5,0,Low,30.5,5.1
2021-01-12,1,4.9,0,Low,30.5,5.1
2020-04-15,4,11.5,1,Low,30.5,5.1
2021-06-01,6,84.6,40,High,30.5,35.8
2022-09-05,9,58.3,28,High,30.5,35.8
2020-08-21,8,40.0,14,High,30.5,35.8
2020-05-13,5,11.4,6,Low,30.5,5.1
2022-03-31,3,16.5,7,Medium,30.5,5.1
2022-10-04,10,9.7,4,Low,30.5,5.1
2020-05-31,5,17.0,5,Medium,30.5,5.1
2023-03-27,3,8.7,5,Low,30.5,5.1
2023-07-13,7,27.7,11,Medium,30.5,35.8
2023-11-06,11,23.5,11,Medium,30.5,5.1
2020-04-19,4,5.4,0,Low,30.5,5.1
2020-11-06,11,15.2,6,Medium,30.5,5.1
2020-11-01,11,13.2,3,Low,30.5,5.1
2023-02-26,2,3.9,4,Low,30.5,5.1
2021-09-14,9,46.9,21,High,30.5,35.8
2020-06-23,6,57.7,32,High,30.5,35.8
2021-05-23,5,4.9,0,Low,30.5,5.1
2020-08-30,8,12.6,2,Low,30.5,35.8
2023-02-16,2,1.9,0,Low,30.5,5.1
2022-05-02,5,7.5,3,Low,30.5,5.1
2023-05-26,5,17.3,5,Medium,30.5,5.1
2023-05-05,5,23.1,10,Medium,30.5,5.1
2023-06-20,6,118.5,60,High,30.5,35.8
2021-04-07,4,13.3,4,Low,30.5,5.1
2022-12-06,12,11.0,0,Low,30.5,5.1
2022-02-18,2,8.0,3,Low,30.5,5.1
2022-07-11,7,24.0,13,Medium,30.5,35.8
2022-06-25,6,20.2,14,Medium,30.5,35.8
2021-08-31,8,73.7,43,High,30.5,35.8
2023-04-20,4,17.9,6,Medium,30.5,5.1
2022-05-28,5,14.0,4,Low,30.5,5.1
2021-09-17,9,54.4,39,High,30.5,35.8
2023-03-10,3,8.5,17,High,30.5,5.1
2023-06-25,6,84.9,42,High,30.5,35.8
2020-05-03,5,14.9,4,Low,30.5,5.1
2023-06-02,6,63.3,35,High,30.5,35.8
2020-07-22,7,22.8,4,Medium,30.5,35.8
2021-03-01,3,14.6,3,Low,30.5,5.1
2023-07-05,7,83.7,42,High,30.5,35.8
2021-03-08,3,17.3,5,Medium,30.5,5.1
2021-06-25,6,101.7,52,High,30.5,35.8
2023-09-14,9,45.2,20,High,30.5,35.8
2020-06-15,6,28.5,15,High,30.5,35.8
2020-11-17,11,30.9,14,High,30.5,5.1
2021-05-06,5,25.7,5,Medium,30.5,5.1
2020-12-21,12,3.8,3,Low,30.5,5.1
2023-02-04,2,0.5,2,Low,30.5,5.1
2020-06-02,6,41.6,23,High,30.5,35.8
2020-11-16,11,27.0,8,Medium,30.5,5.1
2020-01-06,1,7.3,3,Low,30.5,5.1
2022-04-16,4,8.1,0,Low,30.5,5.1
2022-07-11,7,128.3,77,High,30.5,35.8
2023-11-12,11,7.5,2,Low,30.5,5.1
2023-05-01,5,12.7,3,Low,30.5,5.1
2022-08-20,8,118.2,55,High,30.5,35.8
2021-08-19,8,13.0,10,Medium,30.5,35.8
2020-03-07,3,12.6,3,Low,30.5,5.1
2021-04-19,4,8.7,4,Low,30.5,5.1
2021-08-13,8,42.5,23,High,30.5,35.8
2023-12-18,12,5.4,4,Low,30.5,5.1
2021-08-02,8,67.9,33,High,30.5,35.8
2023-12-10,12,2.5,25,High,30.5,5.1
2022-07-18,7,59.9,21,High,30.5,35.8
2020-05-25,5,14.7,4,Low,30.5,5.1
2023-11-08,11,26.8,10,Medium,30.5,5.1
2021-04-23,4,17.7,5,Medium,30.5,5.1
2021-06-25,6,58.0,21,High,30.5,35.8
2023-07-04,7,55.0,32,High,30.5,35.8
2023-04-22,4,12.0,4,Low,30.5,5.1
2023-09-16,9,92.1,38,High,30.5,35.8
2021-02-09,2,18.3,10,Medium,30.5,5.1
2022-05-20,5,5.5,5,Low,30.5,5.1
2020-08-23,8,31.0,10,High,30.5,35.8
2023-01-20,1,8.3,6,Low,30.5,5.1
2021-04-05,4,15.5,3,Low,30.5,5.1
2023-08-19,8,51.5,25,High,30.5,35.8
2020-11-01,11,23.9,7,Medium,30.5,5.1
2021-06-28,6,24.9,15,High,30.5,35.8
2020-10-18,10,1.9,3,Low,30.5,5.1
2020-05-26,5,14.9,3,Low,30.5,5.1
2020-05-02,5,6.6,3,Low,30.5,5.1
2020-12-05,12,5.5,0,Low,30.5,5.1
2021-09-21,9,75.2,44,High,30.5,35.8
2023-05-03,5,14.6,8,Medium,30.5,5.1
2023-03-11,3,24.0,6,Medium,30.5,5.1
2021-08-14,8,101.1,53,High,30.5,35.8
2022-06-18,6,35.7,18,High,30.5,35.8
2020-09-11,9,29.6,14,Medium,30.5,35.8
2022-08-17,8,80.5,37,High,30.5,35.8
2023-11-11,11,17.0,3,Low,30.5,5.1
2021-09-14,9,20.9,13,Medium,30.5,35.8
2023-12-04,12,5.8,3,Low,30.5,5.1
2022-04-04,4,20.0,7,Medium,30.5,5.1
2021-07-11,7,28.2,18,High,30.5,35.8
2022-10-21,10,16.8,2,Low,30.5,5.1
2023-01-10,1,10.5,2,Low,30.5,5.1
2022-10-08,10,3.4,0,Low,30.5,5.1
2022-06-15,6,113.4,53,High,30.5,35.8
2020-06-13,6,20.0,8,Medium,30.5,35.8
2023-05-09,5,12.8,4,Low,30.5,5.1
2020-03-22,3,14.9,4,Low,30.5,5.1
2022-06-03,6,60.1,18,High,30.5,35.8
2021-10-22,10,31.9,11,High,30.5,5.1
2023-05-21,5,6.4,3,Low,30.5,5.1
2021-05-27,5,8.4,4,Low,30.5,5.1
2020-02-22,2,1.1,0,Low,30.5,5.1
2020-07-06,7,48.9,19,High,30.5,35.8
2021-04-13,4,8.4,4,Low,30.5,5.1
2023-10-12,10,15.3,5,Medium,30.5,5.1
2023-03-24,3,10.4,4,Low,30.5,5.1
2023-04-17,4,5.0,0,Low,30.5,5.1
2020-02-12,2,5.6,6,Low,30.5,5.1
2023-10-08,10,27.5,9,Medium,30.5,5.1
2021-07-05,7,69.4,36,High,30.5,35.8
2023-03-26,3,19.8,4,Low,30.5,5.1
2020-03-23,3,6.6,2,Low,30.5,5.1
2020-12-24,12,2.4,0,Low,30.5,5.1
2022-08-21,8,72.9,37,High,30.5,35.8
2022-11-28,11,17.8,4,Low,30.5,5.1
2023-08-27,8,70.8,28,High,30.5,35.8
2022-06-24,6,96.1,56,High,30.5,35.8
2021-07-23,7,95.8,59,High,30.5,35.8
2021-01-06,1,3.5,2,Low,30.5,5.1
2023-04-13,4,20.0,4,Medium,30.5,5.1
2022-06-11,6,13.5,4,Low,30.5,35.8
2023-07-24,7,66.8,32,High,30.5,35.8
2022-10-04,10,10.2,3,Low,30.5,5.1
2020-07-05,7,69.9,23,High,30.5,35.8
2022-08-20,8,72.7,32,High,30.5,35.8
2021-12-13,12,6.2,3,Low,30.5,5.1
2022-04-16,4,14.7,5,Low,30.5,5.1
2021-11-13,11,18.5,7,Medium,30.5,5.1
2021-10-19,10,91.0,30,High,30.5,5.1
2023-10-04,10,18.5,7,Medium,30.5,5.1
2020-08-02,8,36.8,25,High,30.5,35.8
2020-11-25,11,30.0,7,High,30.5,5.1
2021-11-06,11,24.0,6,Medium,30.5,5.1
2022-04-23,4,4.9,0,Low,30.5,5.1
2023-11-21,11,19.3,8,Medium,30.5,5.1
2022-10-11,10,12.7,6,Low,30.5,5.1
2021-08-13,8,48.6,14,High,30.5,35.8
2023-09-18,9,65.3,26,High,30.5,35.8
2022-03-31,3,11.7,5,Low,30.5,5.1
2023-01-31,1,3.4,1,Low,30.5,5.1
2020-03-16,3,17.5,5,Medium,30.5,5.1
2022-07-20,7,108.5,69,High,30.5,35.8
2020-06-29,6,86.3,51,High,30.5,35.8
2021-10-06,10,18.7,9,Medium,30.5,5.1
2021-05-31,5,9.7,3,Low,30.5,5.1
2021-10-24,10,13.6,2,Low,30.5,5.1
